61920	16049	5658	8661	46431	2.1	21.03	0.9	9.4	305	5.8	0.4	81.5	4.1	0.0002	69	12.0	0.21	9.7
39306	10052	4878	7802	37508	13.8	1.61	1.3	6.7	196	4.1	0.7	60.5	3.8	0.0012	46	54.4	0.17	6.2
64999	15231	5675	10410	45283	5.7	20.67	1.9	9.9	297	5.9	0.9	74.8	4.0	0.0000	62	61.3	0.21	11.0
73333	21981	9343	12523	51337	17.6	0.82	1.0	13.2	427	9.1	1.6	63.8	7.3	0.0028	87	4.2	0.28	14.2
7879	4080	2244	3062	19238	6.7	0.00	1.3	1.7	72	1.9	0.4	27.7	3.0	0.0012	13	0.0	0.00	2.0
25589	8991	5203	4983	33409	0.9	0.62	2.0	3.2	143	4.1	0.7	43.9	0.9	0.0002	49	0.9	0.00	3.8
57343	14101	6200	7301	38889	9.2	70.71	1.1	6.9	302	5.5	0.8	34.7	5.6	0.0012	63	2.5	0.06	7.9
28187	10868	2564	6015	33264	1.8	19.24	1.0	6.1	214	5.0	1.1	28.5	6.0	0.0028	36	2.0	0.06	5.0
27047	13073	6122	4938	53648	3.0	5.14	1.0	3.6	212	3.8	0.7	43.3	2.6	0.0002	37	0.9	0.01	4.1
30715	15747	9250	5153	64462	1.8	251.65	0.9	2.3	223	4.6	0.2	57.6	1.0	0.0002	43	6.1	0.00	3.3
34784	18595	15677	6502	69928	0	16.48	0.6	2.7	265	4.2	0.1	42.3	0.3	0.0002	57	0.0	0.00	4.7
74059	32435	12000	18681	63838	8.3	2.09	2.1	17.7	629	4.9	0.9	53.1	7.2	0.0000	136	37.9	0.27	16.1
